SEASON,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,POSITION,HEIGHT_INCHES,WEIGHT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK
1996-97,920,A.C. Green,1610612742,DAL,33.0,Forward,81.0,225.0,30.1,2.8,5.8,0.483,0.0,0.2,0.05,1.5,2.4,0.65,7.9,0.8,0.8,0.2
1996-97,275,Allan Houston,1610612752,NYK,26.0,Guard,78.0,205.0,33.1,5.4,12.7,0.423,1.8,4.7,0.385,2.2,2.7,0.803,3.0,2.2,0.5,0.2
1996-97,947,Allen Iverson,1610612755,PHI,22.0,Guard,72.0,165.0,40.0,8.2,19.8,0.416,2.0,6.0,0.341,5.0,7.2,0.702,4.1,7.5,2.1,0.3
1996-97,297,Alonzo Mourning,1610612748,MIA,27.0,Center,82.0,261.0,35.2,7.2,13.4,0.534,0.0,0.1,0.111,5.5,8.6,0.642,9.9,1.6,0.8,2.9
1996-97,457,Andrew Lang,1610612749,MIL,31.0,Center,83.0,275.0,23.0,2.2,4.8,0.464,0.0,0.0,0.0,0.8,1.2,0.721,5.3,0.5,0.5,0.9
1996-97,358,Anfernee Hardaway,1610612753,ORL,25.0,Forward,79.0,215.0,37.7,7.1,15.9,0.447,1.4,4.5,0.318,4.8,5.8,0.82,4.5,5.6,1.6,0.6
1996-97,193,Anthony Mason,1610612766,CHH,30.0,Forward,80.0,255.0,43.0,5.9,11.3,0.525,0.0,0.0,0.333,4.4,5.9,0.745,11.4,5.7,1.0,0.5
1996-97,324,Anthony Peeler,1610612763,VAN,27.0,Guard,76.0,208.0,31.8,5.6,14.0,0.398,1.8,4.8,0.373,1.5,1.8,0.82,3.4,3.6,1.5,0.2
1996-97,952,Antoine Walker,1610612738,BOS,20.0,Forward,81.0,245.0,36.2,7.0,16.5,0.426,0.6,1.9,0.327,2.8,4.5,0.631,9.0,3.2,1.3,0.6
1996-97,213,Antonio Davis,1610612754,IND,28.0,Forward-Center,81.0,245.0,28.5,3.8,7.8,0.481,0.0,0.2,0.071,2.9,4.4,0.666,7.3,0.8,0.5,1.0
1996-97,686,Antonio McDyess,1610612743,DEN,22.0,Forward-Center,81.0,245.0,34.7,7.2,15.6,0.463,0.1,0.5,0.171,3.7,5.2,0.708,7.3,1.4,0.9,1.7
1996-97,288,Armen Gilliam,1610612749,MIL,33.0,Forward,81.0,260.0,25.7,3.1,6.5,0.471,0.0,0.0,0.0,2.5,3.2,0.768,6.2,0.7,0.8,0.5
1996-97,717,Arvydas Sabonis,1610612757,POR,32.0,Center,87.0,292.0,25.5,4.8,9.5,0.498,0.7,1.9,0.371,3.2,4.2,0.777,7.9,2.1,0.9,1.2
1996-97,422,Avery Johnson,1610612759,SAS,32.0,Guard,71.0,185.0,32.5,4.3,9.0,0.477,0.1,0.3,0.231,1.8,2.7,0.69,1.9,6.8,1.3,0.2
1996-97,769,B.J. Armstrong,1610612744,GSW,29.0,Guard,74.0,185.0,20.8,3.0,6.7,0.453,0.5,1.8,0.278,1.4,1.6,0.861,1.5,2.6,0.5,0.0
1996-97,182,Billy Owens,1610612758,SAC,28.0,Forward-Guard,81.0,225.0,30.2,4.5,9.7,0.467,0.4,1.1,0.347,1.5,2.2,0.697,5.9,2.8,0.9,0.4
1996-97,902,Bimbo Coles,1610612744,GSW,29.0,Guard,74.0,182.0,23.2,2.4,6.2,0.389,0.6,2.0,0.294,0.7,1.0,0.755,2.3,2.9,0.7,0.1
1996-97,898,Blue Edwards,1610612763,VAN,31.0,Forward,76.0,200.0,23.5,3.0,7.5,0.397,0.4,1.5,0.281,1.5,1.8,0.817,3.1,1.9,0.6,0.3
1996-97,448,Bo Outlaw,1610612746,LAC,26.0,Forward,80.0,220.0,26.8,3.1,5.1,0.609,0.0,0.1,0.0,1.4,2.8,0.504,5.5,1.9,1.1,1.7
1996-97,682,Bob Sura,1610612739,CLE,24.0,Guard,77.0,200.0,27.7,3.1,7.2,0.431,0.6,2.0,0.323,2.4,3.9,0.614,3.8,4.8,1.1,0.4
1996-97,184,Bobby Phills,1610612739,CLE,27.0,Guard,77.0,210.0,34.5,4.8,11.1,0.428,1.2,3.1,0.394,1.8,2.5,0.718,3.6,3.4,1.6,0.3
1996-97,258,Brian Grant,1610612758,SAC,25.0,Forward-Center,81.0,254.0,25.4,3.8,8.6,0.44,0.0,0.0,0.0,2.9,3.8,0.778,5.9,1.2,0.8,1.0
1996-97,216,Brian Shaw,1610612753,ORL,31.0,Guard,78.0,200.0,24.3,2.5,6.7,0.366,0.8,2.5,0.325,1.4,1.8,0.793,2.5,4.1,0.9,0.3
1996-97,735,Bryant Reeves,1610612763,VAN,24.0,Center,84.0,290.0,37.0,6.6,13.7,0.486,0.0,0.1,0.091,2.9,4.1,0.704,8.1,2.1,0.4,0.9
1996-97,179,Bryant Stith,1610612743,DEN,26.0,Guard,77.0,210.0,34.4,4.8,11.6,0.416,1.3,3.5,0.385,3.9,4.5,0.863,4.2,2.6,1.2,0.4
1996-97,935,Bryon Russell,1610612762,UTA,26.0,Guard-Forward,79.0,225.0,31.3,3.7,7.7,0.479,1.3,3.3,0.409,2.1,3.0,0.701,4.1,1.5,1.6,0.3
1996-97,433,Buck Williams,1610612752,NYK,37.0,Forward,80.0,225.0,20.3,2.4,4.4,0.537,0.0,0.0,0.0,1.6,2.4,0.642,5.4,0.7,0.5,0.5
1996-97,384,Calbert Cheaney,1610612764,WAS,25.0,Guard-Forward,79.0,210.0,30.6,4.7,9.2,0.505,0.1,0.4,0.133,1.2,1.7,0.693,3.4,1.4,1.0,0.2
1996-97,435,Carlos Rogers,1610612761,TOR,26.0,Forward-Center,83.0,232.0,24.9,3.8,7.2,0.525,0.4,1.2,0.379,1.8,3.0,0.6,5.4,0.7,0.8,1.2
1996-97,76,Cedric Ceballos,1610612756,PHX,27.0,Forward,79.0,220.0,28.6,5.6,12.3,0.457,0.5,2.0,0.255,2.8,3.7,0.747,6.6,1.3,0.7,0.5
1996-97,787,Charles Barkley,1610612745,HOU,34.0,Forward,78.0,252.0,37.9,6.3,13.1,0.484,1.1,3.9,0.283,5.4,7.8,0.694,13.5,4.7,1.3,0.5
1996-97,891,Charles Oakley,1610612752,NYK,33.0,Forward,81.0,245.0,35.9,4.2,8.7,0.488,0.1,0.2,0.263,2.3,2.8,0.808,9.8,2.8,1.4,0.3
1996-97,369,Charlie Ward,1610612752,NYK,26.0,Guard,74.0,185.0,22.3,1.7,4.3,0.395,0.6,1.9,0.312,1.2,1.6,0.76,2.8,4.1,1.1,0.2
1996-97,164,Chris Childs,1610612752,NYK,29.0,Guard,75.0,195.0,31.9,3.2,7.8,0.414,1.1,2.8,0.387,1.7,2.3,0.758,2.9,6.1,1.2,0.2
1996-97,201,Chris Dudley,1610612757,POR,32.0,Center,83.0,260.0,22.7,1.6,3.6,0.43,0.0,0.0,0.0,0.8,1.7,0.474,7.3,0.5,0.5,1.2
1996-97,423,Chris Gatling,1610612751,NJN,29.0,Forward,80.0,232.0,27.3,7.0,13.3,0.525,0.0,0.1,0.167,5.0,7.0,0.717,7.9,0.6,0.8,0.7
1996-97,168,Chris Mills,1610612739,CLE,27.0,Forward,79.0,220.0,39.6,5.1,11.2,0.453,1.1,2.8,0.391,2.2,2.6,0.842,6.2,2.5,1.1,0.5
1996-97,904,Chris Mullin,1610612744,GSW,33.0,Forward,80.0,232.0,34.6,5.5,10.0,0.553,1.1,2.6,0.411,2.3,2.7,0.864,4.0,4.1,1.6,0.4
