SEASON,TEAM_ID,TEAM_NAME,W,L,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,PTS
1996-97,1610612737,Atlanta Hawks,56,26,34.3,76.9,0.446,8.0,22.4,0.36,18.2,23.8,0.763,41.1,19.0,8.5,5.2,94.8
1996-97,1610612738,Boston Celtics,15,67,37.4,85.0,0.44,5.7,16.2,0.351,20.1,26.8,0.75,40.0,21.9,9.9,3.8,100.6
1996-97,1610612766,Charlotte Hornets,54,28,36.4,77.3,0.471,7.2,16.9,0.428,18.8,24.2,0.777,39.1,24.6,7.3,4.3,98.9
1996-97,1610612741,Chicago Bulls,69,13,40.0,84.4,0.473,6.4,17.1,0.373,16.8,22.5,0.747,45.1,26.1,8.7,4.0,103.1
1996-97,1610612739,Cleveland Cavaliers,42,40,33.0,72.8,0.453,5.9,15.7,0.376,15.6,21.6,0.723,37.4,20.9,8.0,3.8,87.5
1996-97,1610612742,Dallas Mavericks,24,58,34.3,78.7,0.436,5.2,16.0,0.326,16.8,23.4,0.717,40.3,20.3,8.0,4.3,90.6
1996-97,1610612743,Denver Nuggets,21,61,35.8,81.5,0.439,7.8,20.9,0.372,18.5,24.3,0.761,42.0,23.0,6.1,5.9,97.8
1996-97,1610612765,Detroit Pistons,54,28,34.5,74.3,0.464,7.1,18.3,0.388,18.1,24.3,0.745,38.4,19.0,7.7,3.5,94.2
1996-97,1610612744,Golden State Warriors,30,52,36.5,80.1,0.456,5.9,16.6,0.353,20.7,26.6,0.778,40.8,22.2,7.5,4.4,99.6
1996-97,1610612745,Houston Rockets,57,25,37.0,79.1,0.468,8.2,22.4,0.365,18.3,24.3,0.755,42.6,24.5,8.4,4.2,100.6
1996-97,1610612754,Indiana Pacers,39,43,34.8,76.3,0.456,5.2,13.8,0.381,20.6,28.5,0.722,41.7,21.3,7.1,4.8,95.4
1996-97,1610612746,Los Angeles Clippers,36,46,36.5,81.7,0.446,5.8,16.3,0.354,18.5,25.3,0.731,40.7,20.3,8.9,5.4,97.2
1996-97,1610612747,Los Angeles Lakers,56,26,36.8,81.0,0.454,6.7,18.3,0.367,19.7,28.4,0.692,42.8,22.5,9.0,7.0,100.0
1996-97,1610612748,Miami Heat,61,21,34.4,76.0,0.453,8.3,22.7,0.364,17.7,24.7,0.719,41.0,21.2,7.9,5.4,94.8
1996-97,1610612749,Milwaukee Bucks,33,49,36.2,76.9,0.471,4.0,11.2,0.352,19.0,25.7,0.741,39.2,19.6,7.7,4.2,95.3
1996-97,1610612750,Minnesota Timberwolves,40,42,35.8,78.5,0.456,4.5,13.3,0.339,20.0,26.6,0.751,39.7,22.9,7.5,6.8,96.1
1996-97,1610612751,New Jersey Nets,26,56,36.5,86.5,0.422,5.9,16.7,0.353,18.3,24.8,0.74,46.2,21.0,8.3,5.9,97.2
1996-97,1610612752,New York Knicks,57,25,35.1,75.9,0.463,5.7,15.8,0.363,19.3,25.8,0.748,42.5,22.1,7.7,4.6,95.4
1996-97,1610612753,Orlando Magic,45,37,34.6,79.2,0.437,6.9,20.3,0.341,18.0,24.1,0.746,40.1,20.6,8.5,4.4,94.1
